res_of_id,res_of_lname,res_of_name,res_of_trip_id,res_payment
NULL,Trevor,Floyd,1,128.36
NULL,Declan,Kelly,1,246.22
NULL,Asia,Barber,1,81.54
NULL,Emilee,Bryant,1,237.42
NULL,Sophie,Fitzpatrick,1,64.07
NULL,Hazel,Bowman,1,239.75
NULL,Karla,Duarte,1,161.08
NULL,Levi,Mitchell,1,112.33
NULL,Emily,Gilmore,1,77.72
NULL,Donavan,Osborn,1,233.76
NULL,Yadira,Carey,1,63.16
NULL,Matteo,Campbell,1,137.43
NULL,Mareli,Shea,1,127.26
NULL,Carsen,Brooks,1,187.49
NULL,Jaylynn,Turner,1,66.94
NULL,Maleah,Fowler,1,202.23
NULL,Yosef,Maddox,1,76.18
NULL,Alessandro,Walls,1,233.26
NULL,Gideon,Durham,1,164.74
NULL,Aliana,Glover,1,233.88
NULL,Alia,Berg,1,197.12
NULL,Jada,Brennan,1,89.96
NULL,Aimee,Kirk,1,186.53
NULL,Rowan,Owen,1,196.87
NULL,Diamond,Monroe,1,89.74
NULL,Elliott,Blackwell,1,129.22
NULL,German,Oconnor,1,117.09
NULL,Glenn,Wallace,1,106.11
NULL,Conor,Willis,1,226.95
NULL,Breanna,Randall,1,204.76
NULL,Dylan,Roman,1,56.97
NULL,Simeon,Allen,1,91.03
NULL,Kali,Luna,1,218.39
NULL,Marin,Soto,1,161.77
NULL,Hillary,Meyer,1,85.65
NULL,Shania,Duffy,1,93.84
NULL,Kathleen,Hahn,1,112.89
NULL,Davin,Summers,1,215.89
NULL,Rashad,Noble,1,66.9
NULL,Judah,Doyle,1,233.15
NULL,Shaun,Mitchell,1,133.93
NULL,Kathryn,Fry,1,183.05
NULL,Lorena,Russo,1,126.75
NULL,Melanie,Tanner,1,138.39
NULL,Marely,Miranda,1,119.57
NULL,Reid,Lang,1,229.89
NULL,Easton,Torres,1,142.18
NULL,Krista,Romero,1,111
NULL,Arthur,Mcknight,1,225.28
NULL,Aldo,Clarke,1,114.73
NULL,Jan,Dillon,1,204.98
NULL,Brayan,Krueger,1,106.93
NULL,Zavier,Anthony,1,118.09
NULL,Alfredo,Greene,1,89.93
NULL,Kamila,Prince,1,116.14
NULL,Reese,Brennan,1,96.38
NULL,Jaylynn,Erickson,1,217.63
NULL,Madalynn,Black,1,117.16
NULL,Ella,West,1,221
NULL,Princess,Pace,1,199.83
NULL,Camila,Phelps,1,91.9
NULL,Elijah,Moore,1,73.17
NULL,Shirley,Buck,1,175.27
NULL,Simone,Hancock,1,194.84
NULL,Liliana,Dawson,1,229.29
NULL,Maxwell,Herman,1,144.05
NULL,Liana,Watkins,1,152.9
NULL,Abel,Mcclure,1,237.99
NULL,Lilah,Case,1,185.67
NULL,Braydon,Howe,1,58.04
NULL,Moises,Herrera,1,162.08
NULL,Omari,Butler,1,209.31
NULL,Reagan,Powers,1,198.12
NULL,Olive,Bullock,1,86.04
NULL,Athena,Guzman,1,104.46
NULL,Mckenna,Perkins,1,175.52
NULL,Ben,Decker,1,200.46
NULL,Sage,Pratt,1,88.37
NULL,Braden,English,1,170.43
NULL,Jaden,Neal,1,172.57
NULL,Kelvin,Petty,1,156.27
NULL,Kevin,Callahan,1,154.51
NULL,Josiah,Zhang,1,235.34
NULL,Emilio,Valdez,1,226.24
NULL,Emmett,Williamson,1,147.84
NULL,Meghan,Molina,1,69.21
NULL,Emilia,Fernandez,1,143.68
NULL,Amiyah,Fleming,1,152.44
NULL,Marlee,Welch,1,106.52
NULL,Cierra,Shea,1,186.34
NULL,Meadow,Campbell,1,180.29
NULL,Brady,Walker,1,109.32
NULL,Jonas,Forbes,1,137.06
NULL,Anton,Waller,1,206.36
NULL,Riley,Glenn,1,77.76
NULL,Ben,Mendez,1,54.23
NULL,Chase,Mclaughlin,1,201.61
NULL,Chasity,Sparks,1,147.63
NULL,Terrell,Whitehead,1,57.66
NULL,Kayley,Andersen,1,202.51
NULL,Paulina,Keith,1,205.21
NULL,Rylee,Charles,1,65.17
NULL,Areli,Romero,1,85.91
NULL,Tyrell,Patrick,1,163.22
NULL,Neveah,Davenport,1,76.84
NULL,Cristofer,Johns,1,240.53
NULL,Cannon,Giles,1,180.44
NULL,Zackery,Cruz,1,79.33
NULL,Jonah,Ho,1,89.97
NULL,Gabrielle,York,1,111.77
NULL,Emery,Aguirre,1,189.9
NULL,Gianni,Sheppard,1,53.01
NULL,Simone,Griffith,1,155.02
NULL,Brady,Leach,1,209.3
NULL,Cara,Mullins,1,208.24
NULL,Breanna,Burton,1,203.29
NULL,Franklin,Martinez,1,55.39
NULL,Maryjane,King,1,69.83
NULL,Aileen,Mcintyre,1,230.67
NULL,Jace,Moon,1,98.43
NULL,Libby,Rogers,1,195.03
NULL,Brooklynn,Gibbs,1,160.04
NULL,Kasey,Paul,1,119.32
NULL,Gideon,Walker,1,207.14
NULL,Alina,Payne,1,113.21
NULL,Ashlyn,Pope,1,118.82
NULL,Whitney,Berry,1,197.54
NULL,Kamden,Bowen,1,169.46
NULL,Aaliyah,Cooper,1,86.13
NULL,Derick,Hill,1,127.04
NULL,Jenny,Boyd,1,210.54
NULL,Makhi,Barber,1,238.8
NULL,Myla,Bradley,1,63.97
NULL,Beatrice,Murphy,1,227.01
NULL,Zachary,Mckenzie,1,133.36
NULL,Alberto,Walton,1,118.17
NULL,Dwayne,Sexton,1,150.12
NULL,Braylen,Ayala,1,131.36
NULL,Angela,Hays,1,119.2
NULL,Memphis,Mcgee,1,231.74
NULL,Kaley,Strickland,1,197.01
NULL,Beau,Schaefer,1,66.71
NULL,Kallie,Griffin,1,150.94
NULL,Aisha,Roberts,1,92.63
NULL,Lilly,Mccarthy,1,117.69
NULL,Adelyn,Payne,1,208.92
NULL,Julissa,Ballard,1,212
NULL,Jasmin,Powers,1,137.88
NULL,Colten,Glover,1,90.42
NULL,Liana,Buchanan,1,122.67
NULL,Viviana,Soto,1,228.09
NULL,Glenn,Ruiz,1,219.48
NULL,Breanna,Green,1,111.8
NULL,Leonardo,Farley,1,167.5
NULL,Sienna,Berger,1,110.41
NULL,Penelope,Becker,1,187.94
NULL,Carlo,Kerr,1,170.66
NULL,Marcus,Mack,1,127.63
NULL,Trey,Dean,1,235.63
NULL,Tomas,Barton,1,96.01
NULL,Haven,Townsend,1,226.05
NULL,Jaxon,Fry,1,175.98
NULL,Javon,Yu,1,223.78
NULL,Alfred,Rasmussen,1,133
NULL,Troy,Brewer,1,172.01
NULL,Colby,Holt,1,194.02
NULL,Jane,Lam,1,74.36
NULL,Nicholas,Werner,1,206.53
NULL,Stacy,Hutchinson,1,184.44
NULL,Jaiden,Martin,1,115.86
NULL,Makenna,Tanner,1,220.95
NULL,Nevaeh,Daniel,1,99.66
NULL,Darian,Mcclure,1,143.96
NULL,Lucille,Ritter,1,221.95
NULL,Georgia,Houston,1,89.74
NULL,Aleah,Lynch,1,143.63
NULL,Paloma,Hughes,1,72.14
NULL,Malachi,Rocha,1,81.31
NULL,June,Nixon,1,190.31
NULL,Frank,Baker,1,143.76
NULL,Shannon,Torres,1,120.49
NULL,Kamora,Small,1,123.89
NULL,Lawson,Mccormick,1,225.79
NULL,Keyon,Morton,1,163.7
NULL,Efrain,Salas,1,112.38
NULL,Royce,Graves,1,69.03
NULL,Albert,Huff,1,215.22
NULL,Clara,Underwood,1,136.2
NULL,Jovanny,Lin,1,86.06
NULL,Elena,Gill,1,179.08
NULL,Meredith,Mcconnell,1,141.26
NULL,Anna,Lucero,1,116.16
NULL,Kirsten,Daniel,1,222.18
NULL,Logan,Arellano,1,217.24
NULL,Aaliyah,Gilmore,1,242.71
NULL,Journey,Murray,1,209.21
NULL,Jordin,Krause,1,116.08
NULL,Quinn,Stanley,1,152.76
NULL,Gerald,Waller,1,70.2
NULL,Thaddeus,Myers,1,234.91
NULL,Martha,Osborn,1,217.93
NULL,Malakai,Greer,1,70.85
NULL,Jaylon,Davies,1,108.85
NULL,Talan,Bush,1,56.6
NULL,Louis,Spencer,1,238.63
NULL,Jaeden,Harrell,1,162.95
NULL,Payton,Mccoy,1,67.01
NULL,Marques,Gaines,1,85.14
NULL,Urijah,Arellano,1,55.5
NULL,Everett,Rush,1,231.08
NULL,Kymani,Greer,1,177.16
NULL,Lailah,Pearson,1,228.26
NULL,Kayley,Francis,1,55.22
NULL,Eliana,Calhoun,1,197.49
NULL,Jaxon,Benson,1,176.18
NULL,Mareli,Schneider,1,117.34
NULL,Lamont,Poole,1,75.61
NULL,Carley,Morton,1,126.83
NULL,Simon,Baker,1,59.42
NULL,Alissa,Maddox,1,158.08
NULL,Josie,Fernandez,1,92.3
NULL,Alia,Cobb,1,165.92
NULL,Rylie,Cline,1,216.41
NULL,Hannah,Mcbride,1,134.36
NULL,Adelaide,Lamb,1,129.45
NULL,Jarrett,Mckay,1,210.24
NULL,Kenzie,Patel,1,54.22
NULL,Jesus,Randall,1,218.09
NULL,Octavio,Davies,1,91.16
NULL,Dorian,Howe,1,113.32
NULL,Chance,Estes,1,111.97
NULL,Valerie,Warner,1,163.81
NULL,Lindsey,Harrison,1,130.85
NULL,Holden,Neal,1,93.27
NULL,Hunter,Madden,1,143.47
NULL,Mira,Mcguire,1,94.31
NULL,Lillian,Goodman,1,200.27
NULL,Lennon,Soto,1,249.7
NULL,Belen,Robertson,1,205.63
NULL,Carissa,Taylor,1,206.21
NULL,Killian,Sexton,1,161.27
NULL,Sierra,Espinoza,1,218.92
NULL,Brennan,Salazar,1,205.83
NULL,Kiara,Terrell,1,50.55
NULL,Kailey,Mooney,1,84.18
NULL,Samson,Mercado,1,79.76
NULL,Hezekiah,Harrison,1,150.04
NULL,Danna,Hahn,1,98.74
NULL,Kenyon,Strong,1,183.85
NULL,Cruz,Novak,1,201
NULL,Atticus,Robertsson,1,180.92
NULL,Makhi,Pollard,1,136.51
NULL,Raina,Floyd,1,60.92
NULL,Kathleen,Robertson,1,236.45
NULL,Adyson,Sparks,1,132.16
NULL,Jayden,Newton,1,98.96
NULL,Humberto,Byrd,1,94.24
NULL,German,King,1,100.05
NULL,Jaiden,Haynes,1,94.27
NULL,Emmalee,Diaz,1,123.56
NULL,Brianna,Wiley,1,52.57
NULL,Justine,Ashley,1,233.1
NULL,Cara,Park,1,148.74
NULL,Yael,Moss,1,128.08
NULL,Madyson,Harrell,1,184.1
NULL,Cole,Hunt,1,174.7
NULL,Alyvia,Pugh,1,52.31
NULL,Violet,Weeks,1,231.12
NULL,Jaylin,Kline,1,74.59
NULL,Gustavo,Mayo,1,172.56
NULL,Leonardo,Whitaker,1,230.8
NULL,Jalen,Wood,1,61.81
NULL,Aiyana,Vance,1,81
NULL,Gia,Stewart,1,82.84
NULL,Luke,Haas,1,184.14
NULL,Deven,Pham,1,132.93
NULL,Ashley,Gould,1,96.63
NULL,Patrick,Benson,1,58.14
NULL,Elaine,Dickson,1,164.06
NULL,Baron,Meyer,1,85.09
NULL,Riya,Ashley,1,103.6
NULL,Madilynn,Huynh,1,138.78
NULL,Angelo,Mitchell,1,148.45
NULL,Aydin,Silva,1,158.5
NULL,Malik,Haynes,1,57.69
NULL,Kody,Schneider,1,244.7
NULL,Dominique,Wolfe,1,63.57
NULL,Frankie,Smith,1,224.98
NULL,Urijah,Shelton,1,69.63
NULL,Julissa,Prince,1,60.29
NULL,Jesus,Watkins,1,231.65
NULL,Lea,Boone,1,153.33
NULL,Rowan,Morgan,1,155.96
NULL,Jaquan,Hancock,1,149.53
NULL,Ashton,Arroyo,1,216.54
NULL,Bailee,Phelps,1,132.65
NULL,Perla,Howard,1,238.39
NULL,Derrick,Rosario,1,72.57
NULL,Abdullah,Mcpherson,1,62.29
NULL,Donte,Rush,1,192.57
NULL,Cason,Guzman,1,193.68
NULL,Alexzander,Cooke,1,186.81
NULL,Jacey,David,1,116.2
NULL,Raelynn,Hicks,1,224.17
NULL,Katherine,Brewer,1,234.13
NULL,Eugene,Cowan,1,140.74
NULL,Patricia,Burton,1,103.7
NULL,Larry,Cantu,1,210.2
NULL,Nikolai,Mcintyre,1,231.16
NULL,Dana,Crawford,1,70.06
NULL,Mariana,Rowe,1,165.06
NULL,Lane,Bryan,1,144.29
NULL,Kirsten,Kane,1,121.51
NULL,Santino,Jackson,1,205.97
NULL,Quinn,Hamilton,1,96.59
NULL,Carlos,Ward,1,220.75
NULL,Edward,Galloway,1,67.28
NULL,Hope,Horton,1,188.91
NULL,Charlee,Torres,1,188.26
NULL,Aubree,Parrish,1,157.53
NULL,Kassandra,Strong,1,89.88
NULL,Alyssa,Barnett,1,67.67
NULL,Kiana,Bridges,1,79.11
NULL,Nora,Oliver,1,128.3
NULL,Darren,Rice,1,194.76
NULL,Isaias,Wilcox,1,176.31
NULL,Isiah,Fisher,1,137.61
NULL,Bryan,Hardy,1,139.49
NULL,Laila,Gross,1,151.72
NULL,Devyn,Wise,1,76.58
NULL,Martin,Banks,1,147.92
NULL,Cloe,Carrillo,1,99.71
NULL,Jaiden,Yu,1,111.09
NULL,Jaxson,Glenn,1,91.81
NULL,Kianna,King,1,114.66
NULL,Roman,Sellers,1,52.48
NULL,Jaelynn,Hurley,1,161.32
NULL,Amira,Montoya,1,77.95
NULL,Marley,Herman,1,234.19
NULL,Lara,Rice,1,59.96
NULL,Lawson,Guerra,1,128.28
NULL,Logan,Galloway,1,223.27
NULL,Emilee,Joyce,1,99.01
NULL,Maxim,Fitzgerald,1,160.14
NULL,Payten,Zuniga,1,185.7
NULL,Kael,Glass,1,80.63
NULL,Sharon,Ortega,1,198.29
NULL,Aliyah,Kirby,1,189.25
NULL,Kallie,Salinas,1,169.01
NULL,Bo,Thompson,1,69.38
NULL,Ezra,Michael,1,67.32
NULL,Andrew,Tucker,1,124.42
NULL,Elise,Johnson,1,71.82
NULL,Johnathan,Blair,1,53.12
NULL,Conrad,Irwin,1,126.21
NULL,Dahlia,Glenn,1,152.07
NULL,Adelaide,Mcknight,1,78.23
NULL,Emerson,Tucker,1,102.24
NULL,Mylee,Holden,1,204.66
NULL,Reed,Lucero,1,203.45
NULL,Elaina,Haney,1,224.35
NULL,Tabitha,Snyder,1,115.76
NULL,Talan,Lee,1,190.82
NULL,Jennifer,Simmons,1,206.7
NULL,Marley,Mcconnell,1,169.09
NULL,Roy,Stafford,1,174.58
NULL,Anton,Bush,1,240.05
NULL,Melina,Hebert,1,144.1
NULL,Aydin,Navarro,1,52.11
NULL,Kai,Mcpherson,1,233.45
NULL,Cristofer,Cunningham,1,139.81
NULL,Shiloh,Meza,1,179.08
NULL,Erika,Coleman,1,111.33
NULL,Jordan,Kaufman,1,153.47
NULL,Destiney,Stanley,1,135.6
NULL,Nicholas,Deleon,1,98.32
NULL,Deandre,Wolfe,1,104.71
NULL,Tania,Mueller,1,168.1
NULL,Eva,Clark,1,91.26
NULL,Raul,Ashley,1,248.25
NULL,Jakob,Weaver,1,148.32
NULL,Catalina,Duffy,1,231.35
NULL,Michelle,Shepherd,1,223.51
NULL,Emmy,Francis,1,183.95
NULL,Mekhi,Sanchez,1,228.28
NULL,Kailey,Arroyo,1,145.27
NULL,Julian,Weiss,1,95.83
NULL,Jazmine,Wallace,1,105.79
NULL,Lailah,Johnson,1,155.01
NULL,Kenya,Ballard,1,113.4
NULL,Noelle,Nichols,1,128.53
NULL,Amare,Mercer,1,68.07
NULL,Catalina,Dominguez,1,143.16
NULL,Eduardo,Knapp,1,145.6
NULL,Elaina,Byrd,1,77.89
NULL,Alfred,Curtis,1,80.67
NULL,Jaylon,Lester,1,122.23
NULL,Janiyah,Villegas,1,238.21
NULL,Serena,Ford,1,95.6
NULL,Nora,Stein,1,117.32
NULL,Laura,Sosa,1,164.06
NULL,Arnav,Davila,1,105.87
NULL,Miles,Haney,1,110.16
NULL,Tucker,Alvarez,1,147.3
NULL,Jacqueline,Potter,1,148.37
NULL,Demetrius,Durham,1,66.16
NULL,Jerry,Fletcher,1,88.11
NULL,Jaida,Lozano,1,242.28
NULL,August,Mccullough,1,155.65
NULL,Kaelyn,Chaney,1,93.47
NULL,Annalise,Hodge,1,148.08
NULL,Miracle,Hampton,1,136.12
NULL,Esperanza,Mcbride,1,171.68
NULL,Cordell,Mcconnell,1,96.24
NULL,Elliott,Flowers,1,182.31
NULL,Reese,Davenport,1,93.54
NULL,Kylan,Bean,1,144.36
NULL,Phillip,Frye,1,61.16
NULL,Jaylan,Salazar,1,76.36
NULL,Evelyn,Burnett,1,60.49
NULL,Gustavo,Ayala,1,235.65
NULL,Cadence,Schultz,1,143.19
NULL,Dulce,Coleman,1,129.64
NULL,Trystan,Kane,1,108.27
NULL,Gael,Douglas,1,192.81
NULL,River,Noble,1,199.95
NULL,Donte,Frank,1,91.04
NULL,Allie,Fry,1,224.98
NULL,Jan,West,1,248.16
NULL,Jewel,Figueroa,1,174.54
NULL,Alexia,Li,1,122.88
NULL,Hayden,Wall,1,172.25
NULL,Chad,Richardson,1,222.76
NULL,Gilbert,Velez,1,53.21
NULL,Fisher,Hayden,1,120.18
NULL,Reed,Sutton,1,238.68
NULL,Tianna,Romero,1,173.21
NULL,Aubrey,Reilly,1,79.15
NULL,Eleanor,Ortega,1,61.47
NULL,Owen,Cline,1,161.32
NULL,Nylah,Rush,1,234.13
NULL,Miley,Mathews,1,145.4
NULL,Beau,Vaughan,1,150.54
NULL,Marcel,Clark,1,125.13
NULL,Dallas,Vaughn,1,199.23
NULL,Hugh,Arroyo,1,129.01
NULL,Urijah,Hendricks,1,224.92
NULL,Jolie,Harris,1,169.97
NULL,Krish,Mcguire,1,139.8
NULL,Frida,Stanley,1,119.24
NULL,Judith,Strickland,1,85.26
NULL,Marlie,Terry,1,237.02
NULL,Nigel,Dorsey,1,135.01
NULL,Areli,Booth,1,224.6
NULL,Cheyanne,Hardy,1,56.31
NULL,Taliyah,Farrell,1,105.63
NULL,Sarah,Berg,1,189.63
NULL,Macie,Huynh,1,86.59
NULL,Malaki,Sellers,1,164.55
NULL,Cedric,Matthews,1,219.09
NULL,Justine,Barr,1,164.78
NULL,Eden,Moran,1,152.63
NULL,Tobias,Davenport,1,100.67
NULL,Brendan,Ramirez,1,186.78
NULL,Skylar,Cochran,1,76.8
NULL,Ian,Wilkins,1,158.7
NULL,Craig,Cox,1,85.71
NULL,Sanaa,Mercer,1,155.13
NULL,Rodolfo,Knox,1,189.78
NULL,Leyla,Baker,1,55.07
NULL,Simone,Hernandez,1,120.38
NULL,Jace,Richards,1,218.81
NULL,Ashley,Barnett,1,125.73
NULL,Rylan,Romero,1,150.87
NULL,Baron,Arroyo,1,120.02
NULL,Mayra,Short,1,115.86
NULL,Donovan,Mccullough,1,240.48
NULL,Amaris,Salas,1,153.79
NULL,Charlize,Roberts,1,189.48
NULL,Mckayla,Hanson,1,136.64
NULL,Leo,Church,1,57.95
NULL,Carina,Wood,1,249.07
NULL,Marisa,Delgado,1,61.13
NULL,Gabriella,Pham,1,175.86
NULL,Grayson,Colon,1,190.57
NULL,Isiah,Miranda,1,167.89
NULL,Akira,Robbins,1,63.97
NULL,Jaeden,Wong,1,222.73
NULL,Janet,Mcmahon,1,156.15
NULL,Alena,Livingston,1,66.9
NULL,Everett,Braun,1,226.31
NULL,Isaac,Cordova,1,73.29
NULL,Trace,Pineda,1,244
NULL,Bryson,Dalton,1,195.93
NULL,Aditya,Good,1,67.44
NULL,Clare,Poole,1,211.26
NULL,Jacob,Dickerson,1,236.57
NULL,Alexis,Zavala,1,83.14
NULL,Santino,Powers,1,142.76
NULL,Maurice,Huff,1,200.9
NULL,Anna,Herrera,1,205.49
NULL,Landin,Herring,1,62.72
NULL,Casey,Livingston,1,83.98
NULL,Paul,Sampson,1,72.35
NULL,Jakayla,Alvarado,1,217.73
NULL,Ellie,Moody,1,163.92
NULL,Makaila,Stanley,1,114.76
NULL,Chace,Schmidt,1,226.07
NULL,Danielle,Dennis,1,119.41
NULL,Hadassah,Pennington,1,207.32
NULL,Deacon,Tanner,1,69.66
NULL,Hunter,Ramirez,1,237.22
NULL,Belen,Keith,1,177.07
NULL,Hector,Hines,1,173.74
NULL,Marianna,Chaney,1,154.64
NULL,Isiah,Barry,1,214.55
NULL,Karma,Zavala,1,224.9
NULL,Coleman,Rosario,1,222.44
NULL,Cash,Morgan,1,78.39
NULL,Eliana,Burgess,1,153.49
NULL,Courtney,Hunter,1,216.47
NULL,Jaelynn,Hardin,1,70.13
NULL,Kobe,Levy,1,236.72
NULL,Anne,Byrd,1,213.85
NULL,Malcolm,Coleman,1,72.88
NULL,Kierra,Cisneros,1,177
NULL,Charlie,Huff,1,91.27
NULL,Leon,Dominguez,1,71.69
NULL,Nikolai,Sosa,1,165.61
NULL,Braiden,Strong,1,173.98
NULL,Felipe,Mcclain,1,120.04
NULL,Mckenna,Werner,1,221.8
NULL,Carissa,Barry,1,132.95
NULL,Trystan,Jensen,1,109.61
NULL,Dante,Little,1,190.43
NULL,Jaeden,Jones,1,155.59
NULL,Kailee,Chase,1,193.07
NULL,Ximena,Wood,1,246.84
NULL,Nadia,Douglas,1,195.09
NULL,Reagan,Ibarra,1,58.92
NULL,Rigoberto,Guerra,1,191.25
NULL,Miriam,Hayes,1,176.99
NULL,Sage,Camacho,1,211.29
NULL,Adalynn,Bowers,1,115.28
NULL,Jerome,Heath,1,202.14
NULL,Heaven,Carr,1,76.99
NULL,Vaughn,Robertson,1,99.47
NULL,Maverick,Moore,1,239.87
NULL,Jensen,Simpson,1,82.62
NULL,Madden,Huang,1,85.96
NULL,Khloe,Moore,1,183.94
NULL,Jack,Schaefer,1,242.87
NULL,Karley,Gay,1,73.68
NULL,Savion,Compton,1,66.43
NULL,Braden,Fuller,1,58.19
NULL,Memphis,Carroll,1,79.03
NULL,Daniella,Mathews,1,150.4
NULL,Semaj,Harrington,1,234.32
NULL,Giselle,Hendrix,1,173.26
NULL,Marisa,Kirk,1,84.02
NULL,Valery,Sullivan,1,155.8
NULL,Elena,Preston,1,65.85
NULL,Trystan,Reeves,1,160.08
NULL,Mayra,Frazier,1,191.61
NULL,Carlee,Blackburn,1,172.46
NULL,Stephany,Walton,1,192.98
NULL,Aaliyah,Hendrix,1,163.9
NULL,Gaige,Potter,1,165.15
NULL,Julio,Fowler,1,245.35
NULL,Alyvia,Kline,1,97.2
NULL,Lamar,Goodwin,1,151.01
NULL,Kyan,Mullins,1,52.45
NULL,Rohan,Lopez,1,130.83
NULL,Lily,Reynolds,1,214.05
NULL,Tate,Gates,1,54.39
